"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"LPE_.16.0.",2.82846615197102,12.9183379010937,1.98001563742542e-09,4.20753322952901e-09,"Non-normal"
"LPE_.16.1.",2.96169434982137,14.5543664125118,2.62978565257841e-09,4.96737289931477e-09,"Non-normal"
"LPE_.18.0.",1.95168456733094,8.154700678368,9.7386482662904e-07,1.03473137829336e-06,"Non-normal"
"LPE_.18.1.",2.60741453124642,12.4761385328987,1.95669379013469e-08,3.02398131202634e-08,"Non-normal"
"LPE_.18.2.",2.47022924474964,11.5592460135625,3.72537836399766e-08,5.27761934899668e-08,"Non-normal"
"LPE_.18.4.",1.53951698418459,5.22376487714281,2.39660472312713e-07,2.71615201954408e-07,"Non-normal"
"LPE_.20.0.",3.07137325254876,13.8203347993219,9.64137747726897e-13,1.63903417113572e-11,"Non-normal"
"LPE_.20.1.",2.72759802096469,12.8435490234716,1.74392986962081e-09,4.20753322952901e-09,"Non-normal"
"LPE_.20.2.",3.31038920366256,17.4348625354436,6.94249208720753e-10,1.9670394247088e-09,"Non-normal"
"LPE_.20.3.",2.82993044506611,13.0693849720577,3.01021865387004e-09,5.11737171157907e-09,"Non-normal"
"LPE_.20.4.",3.00611429790374,13.916887798844,6.32417782669072e-10,1.9670394247088e-09,"Non-normal"
"LPE_.22.0.",2.60279857127146,10.0354920209258,6.96936681150848e-12,5.92396178978221e-11,"Non-normal"
"LPE_.22.1.",1.58228331678733,7.00297494998834,3.05734624018079e-05,3.05734624018079e-05,"Non-normal"
"LPE_.22.3.",3.95206983644791,22.656883566598,5.24064693653691e-11,2.92129968956012e-10,"Non-normal"
"LPE_.22.4.",2.76231347009797,15.8148439785499,7.28367608941237e-08,8.84446382285788e-08,"Non-normal"
"LPE_.22.5.",2.39260102598175,10.4878261616256,7.05475721120058e-08,8.84446382285788e-08,"Non-normal"
"LPE_.22.6.",4.19673560117016,25.8197638460319,6.87364632837676e-11,2.92129968956012e-10,"Non-normal"
