"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"PG_.32.0.",1.21372812801312,4.20305968572113,4.14942570579982e-05,4.46861229855365e-05,"Non-normal"
"PG_.33.0.",3.13641591840337,11.2126127207729,9.9381925426174e-15,4.63782318655479e-14,"Non-normal"
"PG_.34.1.",1.51335841407563,6.2118365654936,3.58264455962811e-05,4.17975198623279e-05,"Non-normal"
"PG_.35.0.",0.78260662990597,3.66133661133388,0.0199469321944292,0.0199469321944292,"Non-normal"
"PG_.36.3.",2.33819332019482,8.81363045491153,8.22267478456871e-09,1.04652224530875e-08,"Non-normal"
"PG_.37.0.",3.03551627089799,15.4116608475839,1.05040615694695e-09,1.63396513302858e-09,"Non-normal"
"PG_.37.2.",2.85834183921268,10.1377535646987,6.13370124728805e-14,1.71743634924065e-13,"Non-normal"
"PG_.38.2.",5.83420089009545,36.9819549641415,3.25388833706961e-16,4.55544367189745e-15,"Non-normal"
"PG_.38.4.",2.69922542912275,12.1126133244975,5.87411792315448e-09,8.22376509241628e-09,"Non-normal"
"PG_.38.5.",3.91471458041602,18.7601610636218,2.49739613141492e-13,5.82725763996815e-13,"Non-normal"
"PG_.38.7.",3.10253132789102,16.3418517588835,3.98899498384801e-10,6.98074122173402e-10,"Non-normal"
"PG_.40.1.",2.80621609671724,9.21065405915117,2.5379009260027e-14,8.88265324100946e-14,"Non-normal"
"PG_.40.6.",1.56392102736116,3.86282328545446,9.66969036249868e-12,1.93393807249974e-11,"Non-normal"
"PG_.42.10.",5.09292347312091,30.8232449910638,3.77145697242865e-15,2.64001988070006e-14,"Non-normal"
